2,20.7.23,W1T2,sets,load ,reps,Effort ,load per ex,Epley AVG,📊,Optima,change optima,Comments
,,squat,4,"20,30,40,40","15,13,9,9","3,3,2,1",1410,44,5.22,390,8.333333333,
,,deadlift,4,"40,45,50,50","12,10,10,10","2,2,1,1",1930,62,0,500,0,
,,calves ,3,"40,40,45","20,25,30","3,2,1",3150,76,7.69,1350,20,
,,abs,3,"25,30,30","30,25,25","3,1,1",2250,53,15.38,750,0,
,Total,,14,525,243,26,8740,235,7.31,,,
15,12.8.23,W4T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,inline bench,4,"30,40,50,50","22,15,12,13","3,3,2,1",2510,63,-17.97,660,0,
,,overhead press,4,"15,20,25,25","25,20,15,15","2,2,1,1",1525,34,,,,
,,rope pushdown,3,"25,30,30","28,20,20","3,2,1",1900,49,0,700,,
,,barbel curls,3,"15,20,20","22,18,18","3,1,1",1050,30,0,360,0,
,Total,,14,395,263,26,6985,176,-7.3,,,
16,15.8.23,W5T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,squat,4,"20,30,40,40","15,13,10,10","3,3,2,2",1490,45,5.67,400,2.564102564,
,,deadlift,4,"40,45,50,50","13,11,11,12","3,1,2,1",2165,64,12.18,600,20,
,,calves ,4,"40,40,45,45","25,30,25,25","3,2,0,2",4450,79,41.27,1200,-11.11111111,
,,abs,4,"25,30,30,30","30,25,25,25","3,3,3,3",3000,54,33.33,750,0,
,Total,,16,600,305,36,11105,242,27.06,,,
17,16.8.23,W5T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,inline bench,4,"30,40,50,50","15,12,9,10","3,3,2,1",1880,58,-25.1,500,-24.24242424,
,,overhead press,4,"15,20,25,25","20,15,12,12","3,2,2,2",1200,31,,,,
,,rope pushdown,4,"25,30,30,30","30,15,15,15","3,2,2,2",2100,46,10.53,750,,
,,barbel curls,4,"10,20,20,20","30,10,10,13","3,2,2,2",960,25,-8.57,300,-16.66666667,
,Total,,16,440,243,36,6140,160,-12.1,,,
18,18.8.23,W5T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,squat,4,"20,30,40,40","15,12,10,10","3,2,1,1",1460,45,-2.01,400,0,
,,deadlift,4,"40,50,50,50","12,10,10,10","3,2,2,2",1980,64,-8.55,500,-16.66666667,
,,calves ,4,"40,40,45,45","25,30,30,30","2,2,2,1",4900,83,10.11,1350,12.5,
,,abs,4,"25,30,35,40","30,25,20,20","3,3,3,3",3000,57,0,800,6.666666667,
,Total,,16,620,299,35,11340,249,2.12,,,
19,19.8.23,W5T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,16та та седмица прогнозирам че ще вдигам 70кг * 10 повторения на наклонена лежанка
,,inline bench,4,"30,40,50,55","15,12,10,10","3,3,3,2",1980,60,5.32,550,10,за 4 тренеровки съм вдигнал 10% от тежеста
