2,20.7.23,W1T2,sets,load ,reps,Effort ,load per ex,Epley AVG,📊,Optima,change optima,Comments
,,leg extension,4,"20,30,40,50","30,25,20,20",,3150,61,,,,
,,leg curls,4,"20,20,20,20","20,20,20,20",,1600,33,,,,
,,calves ,4,"60,60,60,60","30,30,30,30",,7200,119,,,,
,,abs,4,"1,1,1,1","15,15,15,15",,60,1,,,,
,Total,,20,464,355,,12010,214,,,,
53,18.10.23,W14T3,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,machine incl. bench,4,"20,40,50,60","20,15,13,12",,2370,62,,,,
,back,bend over row ,4,"20,40,50,60","20,20,18,15",,3000,67,,,,
,back,seated row ,4,"40,40,45,45","20,20,20,20",,3400,71,,,,
,shoulders,machine side literals ,4,"15,20,25,25","18,15,12,12",,1170,31,,,,
,triceps,rope pushdown,4,"15,17.5,20,20","30,20,15,15",,1400,30,,,,
,biceps,preachers barbell curls,4,"20,25,30,30","20,15,12,12",,1495,39,,,,
,Total,,24,772.5,409,,12835,300,,,,
54,20.10.23,W14T4,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,leg hack,4,"1,20,30,40","20,15,12,10",,1080,32,,,,
,,leg extension,4,"20,30,40,50","30,25,20,20",,3150,61,,,,
,,leg curls,4,"20,20,20,20","20,20,20,20",,1600,33,,,,
,,calves ,4,"60,60,60,60","30,30,30,30",,7200,119,,,,
,Total,,16,460,295,,11950,213,,,,
55,21.10.23,W15T1,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,machine wide chest,4,"60,60,80,100","12,15,12,10",,3580,105,,,,
,chest,fly machine,4,"20,30,30,40","30,20,15,15",,2250,49,,,,
,shoulders,machine push up,4,"20,30,40,50","20,20,15,12",,2200,53,,,,
,back,lat pull down,4,"45,50,55,60","20,18,17,15",,3635,82,,,,
,triceps,rope pushdown,4,"15,17.5,17.5,17.5","20,15,15,15",,1087.5,26,,,,
,biceps,hammer curls ,4,"12,14,14,12","15,12,12,12",,1320,18,,,,
,Total,,24,889.5,382,,14072.5,333,,,,
56,23.10.23,W15T2,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,squat,6,"20,40,50,60,80,90","15,15,12,10,8,6",,3280,75,,,,
,,leg extension,4,"30,40,50,60","25,20,20,15",,6900,73,,,,
,,leg curls,4,"20,20,20,20","20,20,20,20",,1600,33,,,,
,,calves ,4,"60,80,100,100","30,25,25,25",,8800,158,,,,
,Total,,18,600,265,,17300,264,,,,
57,24.10.23,W15T3,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,machine incl. bench,4,"20,40,60,70","20,15,14,12",,2680,70,,,,
,,bench press ,3,"40,60,80","15,12,8",,1960,82,,,,
,back,bend over row ,4,"40,60,70,70","20,15,12,12",,3380,88,,,,
,back,lat pull down,4,"50,60,65,70","18,15,12,10",,3280,88,,,,
,shoulders,machine side literals ,4,"15,20,25,30","18,18,15,12",,1365,34,,,,
,triceps,machine pushdown,4,"20,25,30,30","25,20,15,15",,1900,42,,,,
,biceps,Machine barbell curls,4,"20,25,25,20","18,12,12,15",,1260,33,,,,
,Total,,27,1140,405,,15825,437,,,,
58,27.10.23,W15T4,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,leg press,5,"40,80,120,160,180","25,20,20,15,15,",,10100,183,,,,
,,leg extension,4,"30,40,50,60","25,22,20,17",,3650,75,,,,
,,leg curls,4,"20,20,20,25","20,20,20,15",,1575,34,,,,
,,calves ,4,"60,80,100,100","30,30,30,30",,10200,169,,,,
,,abs,4,"1,1,1,1",,,,,,,,
,Total,,21,609,#VALUE!,,15425,278,,,,
59,28.10.23,W16T1,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,machine incl. bench,4,"20,40,60,70","20,15,15,12",,2740,70,,,,
,chest,machine wide chest,4,"30,40,50,60","20,15,15,12",,2670,67,,,,
,back,lat pull down,4,"50,60,65,70","18,15,12,12",,3420,89,,,,
,shoulders,machine push up,4,"10,30,40,50","30,20,17,15",,2330,52,,,,
,triceps,french press,4,"20,30,30,30","25,15,15,15",,1850,43,,,,
,biceps,hammer curls ,4,"12,14,12,12","15,12,12,12",,636,18,,,,
,Total,,24,905,384,,13646,339,,,,
60,30.10.23,W16T2,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,squat,6,"20,40,60,80,90,60","15,15,10,8,6,10",,3280,76,,,,
,,leg extension,4,"30,40,50,60","25,20,20,18",,7260,75,,,,
,,leg curls,4,"20,25,25,25","20,17,17,17",,1675,38,,,,
,,calves ,4,"60,80,100,80","30,25,20,30",,8200,148,,,,
,Total,,18,595,259,,17135,261,,,,
61,31.10.23,W16T3,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,inc. bench barbel,4,"40,50,60,70","15,15,12,8",,2630,77,,,,
,chest,fly machine,4,"20,30,40,40","30,20,15,15",,2400,52,,,,
,back,bend over row ,4,"40,60,70,70","20,16,12,15",,3650,90,,,,
,back,traps,4,"70,60,60,60","12,12,12,15",,3180,89,,,,
,shoulders,shoulder dumbels press,4,"12,16,20,20","25,17,15,15",,2344,27,,,,
,shoulders,side laterals,4,"6,8,10,10","20,15,12,12",,960,12,,,,
,triceps,rope pushdown,4,"15,17.5,17.5,17.5","25,15,15,15",,1162.5,26,,,,
,biceps,Machine barbell curls,4,"20,25,25,25","20,15,12,15",,1450,36,,,,
,Total,,32,1104.5,507,,17776.5,409,,,,
62,01.11.23,W16T4,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,leg hack,4,"1,20,20,20","15,10,10,",,#N/A,#N/A,,,,
,,leg press,4,"40,80,120,160","20,20,15,12",,6120,150,,,,
,,smith split squat,2,"20,30","10,10",,,,,,,
,,seatted leg curls,,"15,20,25,25","20,22,20,20",,,,,,,
,,calves on hack,,,,,,,,,,
,Total,,10,#VALUE!,#VALUE!,,#N/A,#N/A,,,,
63,3.11.23,W17T0,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,machine incl. bench,4,"20,40,60,70","20,20,16,12",,3000,72,,,,
,chest,machine wide chest,5,"40,60,70,80,90","18,15,15,15,10",,4770,99,,,,
,back,lat pull down,4,"50,60,65,75","20,16,14,12",,3770,94,,,,
,back,seated row ,4,"50,60,65,70","20,15,15,15",,3925,94,,,,
,shoulders,machine push up,4,"40,50,60,70","20,18,15,12",,3440,83,,,,
,shoulders,machine side literals ,4,"15,20,25,25","20,18,15,15",,1410,33,,,,
,triceps,rope pushdown,4,"15,17.5,20,20","25,20,15,15",,1325,29,,,,
,biceps,Machine barbell curls,4,"20,20,25,30","19,20,12,10",,1380,35,,,,
,Total,,33,1497.5,537,,23020,539,,,,
64,06.11.23,W17T1,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,squat smith,5,"20,40,60,70,80","17,16,12,10,8",,3040,74,,,,
,,leg extension,4,"30,40,50,60","25,20,20,18",,7260,75,,,,
,,leg curls,4,"20,25,25,25","25,20,20,20",,2000,40,,,,
,,calves on hack,,,,,,,,,,
,Total,,13,#VALUE!,#VALUE!,,9260,115,,,,
65,7.11.23,W17T2,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,machine incl. bench,4,"20,40,50,50","20,12,10,10",,1880,56,,,,
,back,lat pull down,4,"50,55,50,50","13,10,12,12",,2400,71,,,,
,shoulders,machine push up,4,"40,50,50,50","18,12,12,12",,2520,68,,,,
,triceps,rope pushdown,4,"15,15,15,15","16,12,13,13",,810,22,,,,
,biceps,Machine barbell curls,4,"20,20,25,30","12,12,12,12",,1140,33,,,,
,Total,,20,710,255,,8750,250,,,,
66,09.11.23,W17T3,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,hack squat,4,"1,1,1,1","10,10,10,10",,40,1,,,,
,,bulgarian split squat,4,"20,20,20,20","10,10,10,10",,1600,27,,,,
,,seatted leg curls,,"15,20,25,25","20,20,15,15",,1450,,,,,
,,calves on hack,,"20,40,40,40","25,20,20,20",,2900,,,,,
,,abs,,"1,1,1,1","10,10,10,10",,,,,,,
,Total,,8,305,195,,5950,27,,,,
67,10.11.23,W17T4,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,chest,machine wide chest,4,"20,40,60,60","20,15,9,10",,2140,63,,,,
,back,machine row pull,4,"40,40,40,40","15,15,15,15",,2400,60,,,,
,shoulders,machine side literals ,4,"7,7,8,8","10,10,10,10",,300,10,,,,
,triceps,machine pushdown,4,"20,25,30,30","20,15,15,15",,1675,40,,,,
,biceps,hammer curls ,4,"10,12,12,12","12,8,8,8",,408,15,,,,
,Total,,20,521,255,,6923,188,,,,
68,14.11.23,W18T1,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,squat smith,5,"20,40,60,70,80","17,16,12,10,",,#N/A,#N/A,,,,
,,leg extension,4,"30,40,50,60","25,20,20,18",,7260,75,,,,
,,leg curls,4,"20,25,25,25","25,20,20,",,#N/A,#N/A,,,,
,,calves on hack,,,"30,30,30",,,,,,,
,Total,,13,#VALUE!,238,,#N/A,#N/A,,,,
69,18.11.23,W18T2,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,squat,3,"20,40,60","15,8,8",,1100,52,,,,
,,lat pull down ,3,"40,50,50","25,15,12",,,,,,,
,,machine wide chest,3,"20,40,40","25,18,18",,,,,,,
,,machine push up,3,"20,40,40","18,18,18",,,,,,,
,,machine pushdown,3,"20,25,25","25,20,20",,,,,,,
,,machine barbell curls,3,"20,20,20","12,12,12",,,,,,,
,Total,,18,590,268,,0,0,,,,
70,20.11.23,W19T1,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,machine row pull,3,"40,50,50","20,15,15",,,,,,,
,,machine incl. bench,3,"20,40,50","25,20,15",,,,,,,
,,machine push up,3,"20,40,40","18,15,15",,,,,,,
,,rope pushdown,3,"15,15,15","20,20,20",,,,,,,
,,machine barbell curls,3,"20,20,20","20,20,15",,,,,,,
,Total,,15,455,273,,0,0,,,,
71,22.11.23,W19T2,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,squat smith,4,"20,40,60,60","20,16,10,6",,2000,62,,,,
,,leg extension,3,"30,30,30","20,20,20",,3600,50,,,,
,,leg curls,3,"20,20,20","20,20,20",,1200,33,,,,
,,calves on leg press ,3,"80,80,80","25,25,25",,6000,146,,,,
,Total,,13,390,195,,10800,229,,,,
72,23.11.23,W19T3,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,lat pull down (tight grip),4,"40,50,55,60","20,15,13,13",,,,,,,
,,machine wide chest,4,"20,40,60,70","25,20,15,12",,,,,,,
,,machine push up,4,"20,40,50,60","25,16,15,15",,,,,,,
,,rope pushdown,4,"15,15,15,15","20,20,15,20",,,,,,,
,,machine barbell curls,4,"20,20,20,20","15,15,15,20",,,,,,,
,Total,,20,705,344,,0,0,,,,
73,26.11.23,W19T4,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,squat smith,4,"20,40,60,60","20,16,10,10",,2240,63,,,,
,,leg extension,3,"30,40,50","20,20,20",,4800,66,,,,
,,leg curls,3,"20,20,20","20,20,20",,1200,33,,,,
,,calves on leg press ,3,"80,80,80","30,30,30",,7200,159,,,,
,Total,,13,420,210,,13200,258,,,,
74,23.11.23,W19T3,sets,load ,reps,Effort ,load per ex,Epley AVG,,,,
,,machine row pull,4,"40,50,60,60","25,20,15,15",,,,,,,
,,inc. bench barbel,4,"40,50,60,60","15,15,10,10",,,,,,,
,,machine push up,4,"20,40,50,60","25,16,15,15",,,,,,,
,,rope pushdown,4,"15,17.5,17.5,15","20,15,15,20",,,,,,,
,,machine barbell curls,4,"20,20,20,20","15,15,15,15",,,,,,,
,Total,,20,735,251,,0,0,,,,
75,30.11.23,W12T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"80,120,140,160","20,17,15,13",,7820,190,,,,
,,leg extension,4,"25,30,35,35","20,18,15,15",,4180,48,,,,
,,leg curls,4,"10,12.5,15,15","15,15,15,15",,1575,20,,,,
,,calves ,4,"50,50,50,50","30,30,30,30",,6000,100,,,,
,Total,,16,877.5,313,,19575,358,,,,
76,2.12.23,W13T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,Iso bench press ,4,"30,30,40,40","15,15,12,12",,3720,50,,4 sets,,
,back,Iso lateral row,4,"40,50,60,60","25,15,12,",,#N/A,#N/A,,,,
,shoulders,shoulder dumbels press,4,"12.5,15,20,20","20,18,15,12",,2120,26,,4 sets,,
,triceps,rope pushdown,4,"50,55,60,60","20,20,18,18",,4260,91,,,,
,biceps,preachers barbell curls,4,"20,20,20,20","12,12,12,12",,960,28,,,,
,Total,,20,722.5,295,,#N/A,#N/A,,,,
77,6.12.23,W12T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,60,80,100","20,20,20,20",,5600,116,,,,
,,leg extension,4,"10,15,20,20","20,20,15,15",,2200,25,,,,
,,leg curls,4,"5,10,15,15","20,15,12,12",,1220,16,,,,
,,calves ,4,"50,50,50,50","25,30,35,",,#N/A,#N/A,,,,
,Total,,16,590,299,,#N/A,#N/A,,,,
78,9.12.23,W13T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,Iso bench press ,4,"30,30,40,40","15,15,12,12",,3720,50,,4 sets,,
,back,Iso lateral row seating ,4,"40,50,60,60","25,15,12,12",,3190,79,,,,
,shoulders,shoulder press machine ,4,"20,20,20,20","10,12,15,15",,2080,29,,4 sets,,
,triceps,rope pushdown,4,"50,55,60,60","25,20,18,18",,4510,93,,,,
,biceps,Seated biceps ,4,"20,20,20,20","12,12,12,12",,960,28,,,,
,Total,,20,735,299,,14460,279,,,,
79,12.12.23,W12T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,hack press,4,"10,20,30,40","15,15,15,15",,1500,37,,,,
,,leg extension,4,"10,15,20,20","20,20,15,15",,2200,25,,,,
,,leg curls,4,"10,10,15,15","15,15,12,12",,1320,18,,,,
,,calves ,4,"50,50,50,50","25,30,35,35",,6250,102,,,,
,Total,,16,415,309,,11270,182,,,,
80,13.12.23,W13T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,Iso incline bench press ,4,"20,30,40,40","20,15,12,12",,3620,47,,,,
,back,Iso lateral low row ,4,"40,50,60,60","20,15,12,12",,2990,77,,,,
,shoulders,shoulder press machine ,4,"20,30,30,30","20,15,15,15",,3500,42,,,,
,triceps,rope pushdown,4,"50,55,55,55","25,18,15,",,#N/A,#N/A,,,,
,biceps,Seated biceps ,4,"20,20,20,20","12,12,12,12",,960,28,,,,
,Total,,20,745,289,,#N/A,#N/A,,,,
79,12.12.23,W12T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,120","20,20,20,20",,6800,141,,,,
,,leg extension,4,"10,20,25,25","20,20,15,15",,2700,31,,,,
,,leg curls horizontal ,4,"30,40,50,50","25,20,15,15",,6100,68,,,,
,,calves ,4,"50,50,50,50","30,30,35,35",,6500,104,,,,
,Total,,16,790,355,,22100,344,,,,
80,19.12.23,W13T3,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,Iso bench press ,4,"20,30,40,50","20,15,12,12",,3860,51,,,,
,back,Iso lateral high row ,4,"40,50,60,60","20,15,12,12",,2990,77,,,,
,shoulders,shoulder press machine ,4,"20,30,40,40","20,15,15,15",,4100,49,,,,
,triceps,rope pushdown,4,"50,55,55,55","30,25,20,20",,5075,96,,,,
,biceps,biceps curls bar,4,"15,20,20,20","20,15,15,15",,1200,29,,,,
,Total,,20,770,343,,17225,302,,,,
81,20.12.23,W13T4,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,4,"40,80,100,120","20,20,20,20",,6800,141,,,,
,,leg extension,4,"10,20,25,25","20,20,15,15",,2700,31,,,,
,,leg curls horizontal ,4,"30,40,50,50","25,20,15,15",,6100,68,,,,
,,calves ,4,"50,50,50,50","35,35,35,35",,7000,108,,,,
,Total,,16,790,365,,22600,348,,,,
82,23.03.24,W14T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,Iso bench press ,3,"20,30,40","20,15,12",,2660,45,,,,
,back,Iso lateral high row ,3,"40,50,60","20,15,12",,2270,75,,,,
,shoulders,shoulder press machine ,3,"20,30,30","20,15,12",,2420,40,,,,
,triceps,rope pushdown,3,"20,25,25","20,12,12",,1000,34,,,,
,biceps,biceps curls machine ,3,"50,50,50","12,12,12",,1800,70,,,,
,Total,,15,540,221,,10150,264,,,,
82,23.03.24,W14T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,Iso bench press ,3,"20,30,40","20,15,12",,2660,45,,,,
,back,Iso lateral high row ,3,"40,50,60","20,15,12",,2270,75,,,,
,shoulders,shoulder press machine ,3,"20,30,30","20,15,12",,2420,40,,,,
,triceps,rope pushdown,3,"20,25,25","20,12,12",,1000,34,,,,
,biceps,biceps curls machine ,3,"50,50,50","12,12,12",,1800,70,,,,
,Total,,15,540,221,,10150,264,,,,
,,,,,,,,,,,,
,chest,Iso bench press ,3,"20,30,40","20,15,10",,2500,44,,,,
,back,Iso lateral high row ,3,"40,50,60","20,15,12",,2270,75,,,,
,shoulders,shoulder press machine ,3,"10,10,10","10,15,15",,800,14,,,,
,triceps,rope pushdown,3,"20,25,25","20,12,12",,1000,34,,,,
,biceps,biceps curls machine ,3,"40,50,40","20,10,10",,1700,62,,,,
1,2.2.25,W1T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,chest,Squats ,2,"20,40","12,8",,1120,39,,,,
,back,leg press,2,"70,100","15,15",,2550,127,,,,
,shoulders,Leg extension,2,"20,20","12,15",,1080,29,,,,
,triceps,leg curls horizontal ,2,"30,40","20,20",,1400,58,,,,
,biceps,Calves ,2,"40,40","25,25",,2000,73,,,,
,Total,,10,420,167,,8150,326,,,,
2,6.2.25,W1T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,Iso lateral horizontal ,3,"20,40,40","20,10,10",,2400,47,,,,
,,Iso lateral row,3,"40,60,60","20,12,12",,2240,78,,,,
,,shoulder press machine ,3,"10,20,20","15,10,10",,1100,23,,,,
,,biceps curls machine ,3,"40,40,40","12,12,12",,1440,56,,,,
,,rope pushdown,3,"30,35,35","25,12,12",,1590,51,,,,
,Total,,15,530,204,,8770,255,,,,
3,15.2.25,W2T1,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,leg press,3,"40,80,120","20,18,15",,8080,124,,,,
,,Leg extension,3,"20,25,30","18,15,12",,1095,37,,,,
,,leg curls horizontal ,3,"40,50,50","20,15,15",,4600,72,,,,
,,Calves ,3,"40,50,60","30,30,30",,4500,100,,,,
,Total,,12,605,238,,18275,333,,,,
4,17.2.25,W2T2,sets,load ,reps,Effort ,load per ex,Epley AVG,change load %,,,
,,inc. b. barbel,3,"40,40,40","10,12,10",,1110,19,,,,
,,lat pull down,3,"45,50,55","20,15,13",,2365,76,,,,
,,shoulder press machine ,3,"10,15,15","15,15,12",,#REF!,#REF!,,,,
,,biceps curls machine ,3,"40,40,40","12,12,10",,1360,55,,,,
,,rope pushdown,3,"30,35,35","25,14,12",,1660,52,,,,
,Total,,15,410,175,,#REF!,#REF!,,,,
